epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,367.445,1.00772,0.56753,0.01004,0.87443,0.97172,0.96515,0.72894,1.00736,0.38881,0.01408,0.00175716,0.00175716,0.00175716
43,374.122,1.00441,0.57114,0.0099,0.92506,0.95349,0.97226,0.76746,0.89007,0.38855,0.01248,0.00174571,0.00174571,0.00174571
44,380.871,0.98845,0.52619,0.00999,0.93467,0.99822,0.99231,0.7335,1.03588,0.37307,0.01526,0.00173404,0.00173404,0.00173404
45,387.458,1.04849,0.52739,0.01015,0.91264,0.97193,0.97932,0.75635,0.93029,0.38622,0.0127,0.00172215,0.00172215,0.00172215
46,394.199,1.05594,0.59606,0.00972,0.95315,0.94644,0.98576,0.74699,0.93424,0.37159,0.01242,0.00171004,0.00171004,0.00171004
47,400.909,0.97669,0.51935,0.00899,0.908,0.95349,0.97746,0.73277,0.95811,0.4707,0.01326,0.00169771,0.00169771,0.00169771
48,408.478,1.0154,0.50578,0.01038,0.93022,0.93006,0.9726,0.7339,0.97515,0.48912,0.01306,0.00168518,0.00168518,0.00168518
49,424.835,1.03737,0.58548,0.01049,0.9303,0.95349,0.97643,0.7161,1.02017,0.42283,0.01338,0.00167244,0.00167244,0.00167244
50,441.604,0.98499,0.58122,0.01007,0.88826,0.93023,0.96796,0.73676,0.90829,0.48032,0.01193,0.0016595,0.0016595,0.0016595
51,459.064,1.03496,0.59315,0.00971,0.94852,0.95349,0.98045,0.74536,0.93021,0.41986,0.01214,0.00164636,0.00164636,0.00164636
52,475.799,0.90299,0.5252,0.00847,0.97562,0.93054,0.98036,0.76422,0.92573,0.38491,0.01199,0.00163303,0.00163303,0.00163303
53,491.607,0.94505,0.55078,0.00897,0.92914,0.95349,0.96966,0.7378,1.0128,0.38508,0.01354,0.0016195,0.0016195,0.0016195
54,507.417,1.0335,0.56437,0.01042,0.92724,0.95349,0.98181,0.7638,0.92247,0.36391,0.0125,0.0016058,0.0016058,0.0016058
55,523.161,0.94519,0.48279,0.00951,0.90493,0.97674,0.97965,0.77134,0.87552,0.37918,0.01136,0.00159191,0.00159191,0.00159191
56,538.253,0.91023,0.49162,0.00941,0.95533,0.99472,0.98822,0.76395,0.88926,0.36294,0.01166,0.00157784,0.00157784,0.00157784
57,553.528,0.95131,0.53137,0.00855,0.89388,1,0.98339,0.74637,0.89295,0.47345,0.01179,0.0015636,0.0015636,0.0015636
58,568.352,0.88953,0.45866,0.00848,0.95205,0.93023,0.98678,0.7637,0.91739,0.40404,0.0123,0.00154919,0.00154919,0.00154919
59,581.723,0.88094,0.45167,0.00826,0.95396,0.96382,0.99082,0.7652,0.96545,0.31514,0.01275,0.00153462,0.00153462,0.00153462
60,588.719,0.94328,0.48005,0.00898,0.9418,0.97674,0.98636,0.76453,0.92352,0.31091,0.01265,0.00151989,0.00151989,0.00151989
61,603.334,0.92692,0.49915,0.00785,0.97665,0.9726,0.98639,0.76454,0.92707,0.34379,0.01241,0.001505,0.001505,0.001505
62,626.054,0.87638,0.48087,0.00827,0.97606,0.94828,0.98499,0.74295,0.92264,0.32984,0.01264,0.00148996,0.00148996,0.00148996
63,644.636,0.96472,0.52873,0.00905,0.93016,0.97674,0.98497,0.71333,1.01015,0.37056,0.01315,0.00147478,0.00147478,0.00147478
64,662.322,0.91604,0.48903,0.00907,0.90794,0.97674,0.98211,0.75082,0.90823,0.41668,0.01206,0.00145945,0.00145945,0.00145945
65,680.026,0.84101,0.44698,0.00769,0.93165,0.95106,0.98625,0.76252,0.89688,0.38828,0.01153,0.00144399,0.00144399,0.00144399
66,697.361,0.81719,0.41198,0.00896,0.95208,0.92413,0.98512,0.74919,0.91199,0.36417,0.01202,0.00142839,0.00142839,0.00142839
67,714.108,0.9537,0.49293,0.00938,0.95333,0.95017,0.97898,0.74682,0.96664,0.34975,0.01275,0.00141267,0.00141267,0.00141267
68,730.191,0.97374,0.46711,0.00975,0.92855,0.95349,0.96532,0.76478,0.89424,0.40334,0.0121,0.00139682,0.00139682,0.00139682
69,748.99,0.85349,0.51231,0.00855,0.95118,0.97674,0.96959,0.73679,0.9995,0.39741,0.0133,0.00138086,0.00138086,0.00138086
70,763.843,0.88266,0.45252,0.00903,0.97607,0.9485,0.9665,0.75137,0.95835,0.42065,0.01333,0.00136478,0.00136478,0.00136478
71,770.744,0.84692,0.48936,0.00897,0.91953,0.95349,0.96074,0.72919,0.97176,0.46053,0.01335,0.0013486,0.0013486,0.0013486
72,777.502,0.88659,0.52782,0.00897,0.95318,0.94702,0.97788,0.73408,0.99925,0.37239,0.01413,0.00133231,0.00133231,0.00133231
73,784.129,0.92473,0.50823,0.00883,0.92529,0.97674,0.97651,0.7404,0.97333,0.36539,0.01303,0.00131593,0.00131593,0.00131593
74,790.636,0.85514,0.48587,0.00763,0.95207,0.92404,0.97685,0.7356,0.93335,0.43792,0.0124,0.00129945,0.00129945,0.00129945
75,797.682,0.79716,0.44268,0.00749,0.91051,0.97674,0.98245,0.75736,0.92671,0.34879,0.01309,0.00128288,0.00128288,0.00128288
76,804.575,0.89292,0.42776,0.00952,0.93017,1,0.98783,0.78506,0.84318,0.30408,0.01138,0.00126623,0.00126623,0.00126623
77,811.336,0.77814,0.35637,0.00735,0.92838,1,0.98815,0.78245,0.86116,0.29467,0.01226,0.0012495,0.0012495,0.0012495
78,819.058,0.81249,0.39164,0.00805,0.90792,1,0.98422,0.79566,0.83918,0.31759,0.01166,0.0012327,0.0012327,0.0012327
79,826.807,0.83854,0.42241,0.00767,0.96783,0.90698,0.98493,0.79337,0.8472,0.33831,0.01142,0.00121583,0.00121583,0.00121583
80,835.057,0.79046,0.45982,0.00716,0.92703,0.93023,0.97955,0.77591,0.92742,0.35937,0.01318,0.0011989,0.0011989,0.0011989
81,841.816,0.7416,0.45189,0.00687,0.93013,0.92883,0.97274,0.77283,0.87497,0.38943,0.01238,0.00118191,0.00118191,0.00118191
82,848.249,0.76782,0.50258,0.00699,0.93178,0.95294,0.97437,0.76284,0.91076,0.42439,0.01199,0.00116487,0.00116487,0.00116487
83,854.853,0.77712,0.338,0.00853,0.91408,0.95349,0.96258,0.74314,0.91942,0.40676,0.01264,0.00114778,0.00114778,0.00114778
84,861.567,0.82846,0.4388,0.00822,0.9533,0.94949,0.9845,0.76085,0.92906,0.33822,0.0123,0.00113065,0.00113065,0.00113065
85,868.483,0.87074,0.47842,0.00897,0.91018,0.94276,0.96819,0.74601,0.90917,0.40777,0.0117,0.00111348,0.00111348,0.00111348
86,875.532,0.83196,0.3832,0.0076,0.9301,0.9284,0.96628,0.73162,0.93091,0.41548,0.01187,0.00109628,0.00109628,0.00109628
87,888.064,0.93861,0.45992,0.00852,0.92654,0.95349,0.96365,0.72784,0.88362,0.41141,0.01143,0.00107906,0.00107906,0.00107906
88,905.131,0.87852,0.44291,0.00882,0.91085,0.95051,0.98258,0.73793,0.93912,0.34983,0.01223,0.00106181,0.00106181,0.00106181
89,921.77,0.81075,0.42978,0.00778,0.93423,0.9912,0.97703,0.7557,0.85553,0.35054,0.01095,0.00104455,0.00104455,0.00104455
90,938.965,0.7769,0.41175,0.00757,0.93321,1,0.98372,0.73895,0.91982,0.42879,0.0116,0.00102728,0.00102728,0.00102728
91,958.468,0.77123,0.42949,0.00775,0.93347,1,0.981,0.7844,0.80285,0.35977,0.01032,0.00101,0.00101,0.00101
92,975.935,0.80414,0.3762,0.00785,0.91122,0.95478,0.97585,0.77528,0.82051,0.36289,0.01051,0.000992722,0.000992722,0.000992722
93,982.541,0.82202,0.52017,0.00761,0.9114,0.95702,0.97029,0.78512,0.80151,0.34061,0.01005,0.000975449,0.000975449,0.000975449
94,989.414,0.82971,0.47173,0.00848,0.93309,0.97309,0.97425,0.78967,0.81672,0.34032,0.01077,0.000958187,0.000958187,0.000958187
95,996.821,0.72264,0.35884,0.00678,0.9457,0.93023,0.97198,0.78441,0.80342,0.32773,0.01067,0.000940941,0.000940941,0.000940941
96,1004.35,0.83477,0.44895,0.00707,0.94984,0.97674,0.98308,0.78707,0.82274,0.30257,0.01061,0.000923716,0.000923716,0.000923716
97,1011.63,0.77114,0.40077,0.00707,0.95033,0.97674,0.98809,0.77755,0.85176,0.31591,0.01062,0.000906517,0.000906517,0.000906517
98,1018.84,0.78753,0.38228,0.00732,0.95084,0.97674,0.97608,0.76895,0.87417,0.35705,0.01105,0.000889349,0.000889349,0.000889349
99,1027.03,0.74415,0.39641,0.00718,0.95918,0.97674,0.98439,0.78356,0.86511,0.36588,0.01091,0.000872219,0.000872219,0.000872219
100,1033.51,0.77975,0.39452,0.0079,0.94318,0.97674,0.98396,0.80536,0.82306,0.34546,0.01044,0.00085513,0.00085513,0.00085513
101,1040.24,0.73151,0.39014,0.00725,0.93318,0.97445,0.98714,0.79147,0.82429,0.30876,0.01065,0.000838088,0.000838088,0.000838088
102,1046.84,0.75211,0.39027,0.007,0.94127,0.95349,0.98877,0.80016,0.82634,0.2857,0.01103,0.000821099,0.000821099,0.000821099
103,1053.82,0.70064,0.40743,0.00612,0.93449,0.99528,0.99025,0.7877,0.82667,0.27559,0.01114,0.000804167,0.000804167,0.000804167
104,1061.23,0.7215,0.37124,0.00692,0.93466,0.99802,0.98821,0.77095,0.83686,0.30212,0.01102,0.000787298,0.000787298,0.000787298
105,1068.49,0.65151,0.33925,0.00619,0.95547,0.99796,0.9896,0.76859,0.8761,0.3158,0.01153,0.000770497,0.000770497,0.000770497
106,1075.54,0.68754,0.31271,0.00649,0.91473,0.9979,0.98778,0.7882,0.8314,0.30865,0.01103,0.000753769,0.000753769,0.000753769
107,1082.27,0.78719,0.39258,0.00721,0.95195,0.97674,0.99001,0.78897,0.83655,0.27733,0.01109,0.000737119,0.000737119,0.000737119
108,1088.87,0.65951,0.34007,0.00658,0.95307,1,0.98989,0.78809,0.82334,0.2602,0.01071,0.000720552,0.000720552,0.000720552
109,1095.62,0.70475,0.3588,0.00659,0.96692,0.97674,0.98625,0.78165,0.83104,0.28654,0.01092,0.000704073,0.000704073,0.000704073
110,1102.48,0.72647,0.39586,0.0066,0.94548,0.95349,0.98455,0.79536,0.79195,0.32152,0.01018,0.000687688,0.000687688,0.000687688
111,1109.45,0.69855,0.37445,0.00636,0.95234,0.92951,0.97628,0.78981,0.80423,0.36393,0.01026,0.0006714,0.0006714,0.0006714
112,1116.38,0.68717,0.42597,0.00596,0.95308,0.97674,0.98016,0.78539,0.7964,0.29762,0.01013,0.000655216,0.000655216,0.000655216
113,1123.26,0.70481,0.38339,0.00663,0.9544,0.9735,0.98059,0.78829,0.81235,0.30841,0.01039,0.000639139,0.000639139,0.000639139
114,1130.27,0.66892,0.35297,0.00627,0.90799,1,0.97848,0.78233,0.8239,0.32992,0.01067,0.000623176,0.000623176,0.000623176
115,1136.84,0.72537,0.37475,0.00651,0.93141,0.97674,0.97729,0.7899,0.81646,0.30286,0.01053,0.000607331,0.000607331,0.000607331
116,1143.77,0.68288,0.39926,0.00628,0.95554,0.9997,0.97478,0.77166,0.82128,0.30225,0.01048,0.000591608,0.000591608,0.000591608
117,1150.59,0.6976,0.36819,0.00617,0.9517,0.97674,0.96751,0.76956,0.84815,0.29126,0.01108,0.000576013,0.000576013,0.000576013
118,1157.15,0.7018,0.3579,0.00637,0.95095,1,0.96811,0.763,0.85327,0.28226,0.01109,0.000560549,0.000560549,0.000560549
119,1163.79,0.60771,0.2996,0.00594,0.95286,0.97674,0.97142,0.76342,0.83232,0.29306,0.01094,0.000545223,0.000545223,0.000545223
120,1170.32,0.69937,0.45641,0.00579,0.93325,1,0.97575,0.77147,0.83191,0.28832,0.01113,0.000530038,0.000530038,0.000530038
121,1177.03,0.6486,0.36539,0.00618,0.93467,0.99818,0.97682,0.7707,0.83918,0.30053,0.01109,0.000515,0.000515,0.000515
122,1183.62,0.68322,0.35002,0.00685,0.93404,1,0.97557,0.77532,0.79353,0.2962,0.01034,0.000500112,0.000500112,0.000500112
123,1190.28,0.68185,0.34012,0.00663,0.94942,1,0.97624,0.76482,0.81277,0.28802,0.0107,0.00048538,0.00048538,0.00048538
124,1197.2,0.65395,0.36452,0.00567,0.9302,1,0.97651,0.77637,0.79532,0.28037,0.01051,0.000470807,0.000470807,0.000470807
125,1205.57,0.71681,0.38643,0.00616,0.93134,1,0.97301,0.7868,0.79627,0.30633,0.01041,0.000456399,0.000456399,0.000456399
126,1213.88,0.60855,0.29122,0.00547,0.95292,1,0.97624,0.78768,0.81077,0.2712,0.01068,0.000442159,0.000442159,0.000442159
127,1221.7,0.68573,0.33224,0.00634,0.95114,0.97674,0.97529,0.7724,0.80698,0.27901,0.01041,0.000428093,0.000428093,0.000428093
128,1229.4,0.61275,0.32085,0.00541,0.95111,1,0.97624,0.77203,0.81071,0.2779,0.01044,0.000414203,0.000414203,0.000414203
129,1237.12,0.63289,0.34604,0.00572,0.95543,0.99713,0.97525,0.76862,0.8045,0.27927,0.01035,0.000400495,0.000400495,0.000400495
130,1244.62,0.6008,0.30634,0.00591,0.93339,1,0.97432,0.77393,0.82511,0.28423,0.01061,0.000386973,0.000386973,0.000386973
